epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3242.64,0.64527,0.39833,0.92915,0.84642,0.69362,0.76214,0.49114,1.30695,1.1984,1.44418,0.0004456,0.0004456,0.0004456
86,3281.16,0.63765,0.38865,0.92208,0.79759,0.71544,0.76239,0.49387,1.31366,1.24091,1.41903,0.000439,0.000439,0.000439
87,3319.71,0.63581,0.39073,0.92493,0.79731,0.7083,0.76177,0.49608,1.31118,1.24324,1.42197,0.0004324,0.0004324,0.0004324
88,3358.24,0.62776,0.38218,0.9141,0.82803,0.71439,0.76375,0.49692,1.31625,1.23659,1.45,0.0004258,0.0004258,0.0004258
89,3397.07,0.62007,0.38145,0.92085,0.80033,0.72763,0.7588,0.4999,1.31928,1.26299,1.45211,0.0004192,0.0004192,0.0004192
90,3435.76,0.62406,0.38353,0.9172,0.83967,0.7093,0.76414,0.4985,1.32001,1.23484,1.46803,0.0004126,0.0004126,0.0004126
91,3474.86,0.6184,0.37712,0.9157,0.82119,0.72698,0.75556,0.49688,1.34083,1.25939,1.45848,0.000406,0.000406,0.000406
92,3513.72,0.6199,0.38028,0.91552,0.83757,0.71703,0.76504,0.49587,1.33909,1.23643,1.46765,0.0003994,0.0003994,0.0003994
93,3552.07,0.6041,0.3698,0.91266,0.82902,0.71853,0.75854,0.49348,1.34916,1.26779,1.47464,0.0003928,0.0003928,0.0003928
94,3590.46,0.60149,0.3706,0.91202,0.83877,0.70099,0.76026,0.49907,1.36607,1.31715,1.49283,0.0003862,0.0003862,0.0003862
95,3628.86,0.60828,0.37342,0.91296,0.85045,0.7009,0.76666,0.50201,1.35543,1.25889,1.48191,0.0003796,0.0003796,0.0003796
96,3667.46,0.59928,0.36834,0.91363,0.8121,0.72909,0.77141,0.50118,1.34103,1.26237,1.48299,0.000373,0.000373,0.000373
97,3705.92,0.58934,0.3617,0.90753,0.83527,0.69796,0.77108,0.50409,1.34609,1.17752,1.50318,0.0003664,0.0003664,0.0003664
98,3744.57,0.5929,0.36459,0.90721,0.80203,0.7257,0.76313,0.49504,1.33918,1.24735,1.47399,0.0003598,0.0003598,0.0003598
99,3783.11,0.59238,0.36059,0.90741,0.77923,0.7414,0.75879,0.49679,1.34879,1.24162,1.49214,0.0003532,0.0003532,0.0003532
100,3821.49,0.58626,0.35954,0.90559,0.81731,0.71521,0.7733,0.50877,1.33417,1.24196,1.46958,0.0003466,0.0003466,0.0003466
101,3859.97,0.58636,0.35415,0.90368,0.78964,0.73102,0.76687,0.50787,1.3224,1.22694,1.46137,0.00034,0.00034,0.00034
102,3898.38,0.58015,0.35095,0.90049,0.81874,0.7385,0.76917,0.50389,1.33202,1.26852,1.45775,0.0003334,0.0003334,0.0003334
103,3936.72,0.57729,0.35367,0.90093,0.83796,0.70581,0.76768,0.50073,1.34297,1.24496,1.47143,0.0003268,0.0003268,0.0003268
104,3975.11,0.56599,0.34458,0.89877,0.81405,0.73029,0.76487,0.50168,1.3532,1.27125,1.47144,0.0003202,0.0003202,0.0003202
105,4013.52,0.58115,0.35055,0.90304,0.84368,0.68958,0.7559,0.49757,1.32823,1.29085,1.46157,0.0003136,0.0003136,0.0003136
106,4051.98,0.5662,0.34464,0.89636,0.81676,0.71849,0.76454,0.50314,1.34341,1.28978,1.4908,0.000307,0.000307,0.000307
107,4090.46,0.55888,0.34342,0.89479,0.82103,0.71744,0.76939,0.50474,1.34162,1.29101,1.46587,0.0003004,0.0003004,0.0003004
108,4128.91,0.55687,0.33636,0.89462,0.83018,0.7084,0.77124,0.50782,1.32281,1.25178,1.47081,0.0002938,0.0002938,0.0002938
109,4167.28,0.55765,0.34197,0.89179,0.82959,0.70491,0.76473,0.50743,1.34894,1.32078,1.48449,0.0002872,0.0002872,0.0002872
110,4205.75,0.55143,0.33725,0.88997,0.83673,0.70915,0.76855,0.50568,1.33644,1.28419,1.47399,0.0002806,0.0002806,0.0002806
111,4244.12,0.55342,0.33779,0.89435,0.82753,0.70581,0.7633,0.5015,1.34675,1.25455,1.48519,0.000274,0.000274,0.000274
112,4282.6,0.54208,0.33506,0.89077,0.81848,0.70853,0.75052,0.50263,1.31157,1.30335,1.44383,0.0002674,0.0002674,0.0002674
113,4320.99,0.54349,0.32976,0.88482,0.80241,0.71858,0.75878,0.50336,1.33667,1.29824,1.47765,0.0002608,0.0002608,0.0002608
114,4359.39,0.53367,0.32578,0.88928,0.82059,0.71259,0.76415,0.50691,1.33402,1.30803,1.47841,0.0002542,0.0002542,0.0002542
115,4397.79,0.54215,0.33115,0.88811,0.82494,0.71133,0.75473,0.49453,1.33584,1.33995,1.47452,0.0002476,0.0002476,0.0002476
116,4436.25,0.53495,0.32811,0.88718,0.81911,0.71446,0.75593,0.49699,1.3628,1.29231,1.52312,0.000241,0.000241,0.000241
117,4474.62,0.53296,0.32421,0.8932,0.84164,0.7116,0.77123,0.50765,1.37837,1.24491,1.53184,0.0002344,0.0002344,0.0002344
118,4513.06,0.52541,0.31922,0.88788,0.81445,0.723,0.76016,0.50365,1.36223,1.29073,1.51851,0.0002278,0.0002278,0.0002278
119,4551.58,0.5238,0.32043,0.88344,0.80163,0.72259,0.75792,0.49887,1.33225,1.35371,1.46922,0.0002212,0.0002212,0.0002212
120,4590.01,0.52517,0.31501,0.88465,0.80348,0.73037,0.75845,0.50403,1.31181,1.30616,1.47419,0.0002146,0.0002146,0.0002146
121,4628.45,0.52329,0.31772,0.88178,0.79915,0.7174,0.75467,0.5016,1.32919,1.31003,1.50707,0.000208,0.000208,0.000208
122,4666.84,0.51723,0.31519,0.87907,0.80435,0.72222,0.76243,0.50376,1.33903,1.27963,1.50031,0.0002014,0.0002014,0.0002014
123,4705.46,0.51052,0.30972,0.88026,0.81663,0.71804,0.76738,0.51083,1.34001,1.2532,1.50983,0.0001948,0.0001948,0.0001948
124,4743.96,0.50179,0.30357,0.87831,0.80408,0.71529,0.76681,0.5104,1.31974,1.27453,1.49468,0.0001882,0.0001882,0.0001882
125,4782.31,0.50602,0.30693,0.87695,0.80863,0.69716,0.75641,0.50954,1.32356,1.30567,1.50686,0.0001816,0.0001816,0.0001816
126,4820.68,0.50112,0.30204,0.87715,0.82788,0.69111,0.76038,0.5085,1.32698,1.31699,1.50897,0.000175,0.000175,0.000175
127,4859.02,0.49877,0.30714,0.87895,0.8276,0.69959,0.76086,0.51022,1.33628,1.35874,1.5127,0.0001684,0.0001684,0.0001684
128,4897.33,0.48842,0.29817,0.87003,0.80629,0.70594,0.75932,0.5028,1.34353,1.36579,1.5121,0.0001618,0.0001618,0.0001618
129,4935.72,0.49726,0.30145,0.87521,0.81333,0.70746,0.76069,0.50486,1.3308,1.37974,1.50305,0.0001552,0.0001552,0.0001552
130,4974.11,0.4924,0.29739,0.87307,0.82879,0.70405,0.76291,0.50786,1.34571,1.35402,1.51365,0.0001486,0.0001486,0.0001486
131,5012.44,0.48341,0.29418,0.87097,0.81491,0.71472,0.76226,0.50468,1.34987,1.34924,1.52105,0.000142,0.000142,0.000142
132,5050.86,0.48597,0.29758,0.87238,0.79704,0.7238,0.7652,0.50461,1.35552,1.33273,1.52939,0.0001354,0.0001354,0.0001354
133,5089.15,0.48855,0.29503,0.86867,0.82375,0.70625,0.76633,0.50863,1.33474,1.30885,1.52405,0.0001288,0.0001288,0.0001288
134,5127.57,0.48514,0.29617,0.87202,0.82158,0.71438,0.76229,0.50733,1.33132,1.29268,1.5146,0.0001222,0.0001222,0.0001222
135,5166.02,0.47937,0.29023,0.87005,0.8118,0.71899,0.76344,0.50878,1.33506,1.29627,1.52053,0.0001156,0.0001156,0.0001156
136,5204.38,0.48105,0.29416,0.86997,0.81569,0.70467,0.75869,0.50837,1.33082,1.32252,1.52332,0.000109,0.000109,0.000109
137,5243.09,0.47181,0.28591,0.86593,0.81278,0.71632,0.76628,0.51171,1.33471,1.31391,1.52034,0.0001024,0.0001024,0.0001024
138,5281.61,0.4732,0.2884,0.87109,0.80806,0.71493,0.76555,0.51036,1.33377,1.29987,1.52613,9.58e-05,9.58e-05,9.58e-05
139,5320.05,0.47811,0.29157,0.87057,0.83144,0.70633,0.77016,0.51593,1.33827,1.28107,1.52618,8.92e-05,8.92e-05,8.92e-05
140,5358.45,0.47039,0.28745,0.86893,0.85119,0.69673,0.76914,0.51459,1.33396,1.30533,1.52802,8.26e-05,8.26e-05,8.26e-05
141,5442.16,0.45479,0.25416,0.83509,0.80899,0.71998,0.76681,0.51277,1.33312,1.30821,1.55956,7.6e-05,7.6e-05,7.6e-05
142,5479.61,0.43836,0.245,0.83103,0.81134,0.71424,0.76597,0.51534,1.33392,1.31191,1.56261,6.94e-05,6.94e-05,6.94e-05
143,5517.02,0.43058,0.24142,0.8277,0.81475,0.71314,0.76909,0.51813,1.32201,1.30573,1.54232,6.28e-05,6.28e-05,6.28e-05
144,5554.6,0.42577,0.24032,0.82469,0.8375,0.69533,0.76494,0.51406,1.32577,1.31947,1.54362,5.62e-05,5.62e-05,5.62e-05
145,5592.17,0.42192,0.23866,0.82612,0.83124,0.7041,0.76522,0.51565,1.32154,1.30976,1.54614,4.96e-05,4.96e-05,4.96e-05
146,5629.68,0.41461,0.23653,0.82245,0.82485,0.70765,0.76295,0.51461,1.32118,1.32138,1.54551,4.3e-05,4.3e-05,4.3e-05
147,5667.26,0.40637,0.23094,0.81972,0.82159,0.7112,0.76562,0.51654,1.31762,1.31379,1.54012,3.64e-05,3.64e-05,3.64e-05
148,5704.87,0.40915,0.23076,0.82086,0.81401,0.71309,0.768,0.51762,1.31167,1.30634,1.53655,2.98e-05,2.98e-05,2.98e-05
149,5742.42,0.40147,0.23001,0.82053,0.82343,0.70355,0.76799,0.51904,1.31413,1.31538,1.5374,2.32e-05,2.32e-05,2.32e-05
150,5780.07,0.40442,0.22892,0.81998,0.82533,0.70725,0.76814,0.51891,1.3196,1.32239,1.54281,1.66e-05,1.66e-05,1.66e-05
